SERIALNR;PACKNR;ETHMAC;APPCODE;DISTICODE;MODELCODE;PACKCODE;EAN;SWVERSION;PRODUCTIONNR;ICCID;MSISDN;WIFIMAC;EHBPK;IMEI;OMAPID;ACTIVE;PROFILE;PCB;FEEDURL;SERVICEPROVIDER;ENVIRONMENT;DATACENTER
964D0E463D343253;0000000013151;20-FE-DB-00-33-CD;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4314-00001;89410114160701042228;;80-1F-02-F5-67-95;D461341A3D343253FA82C7DB964D0E46;862455026421431;964D0E463D343253964D0E463D343253;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
8DEE9065BA39608B;0000000013152;20-FE-DB-00-33-CE;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4314-00002;89410114160701042574;;80-1F-02-F5-5E-44;D451143CBA39608BAD0319D88DEE9065;862455026420284;8DEE9065BA39608B8DEE9065BA39608B;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
2D611913F5DA233C;0000000013153;20-FE-DB-00-33-CF;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4314-00003;89410114160701042541;;80-1F-02-F5-5E-41;D459382CF5DA233CFA82C7DB2D611913;862455026415623;2D611913F5DA233C2D611913F5DA233C;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
F4B1C01ADFD24B9B;0000000013154;20-FE-DB-00-33-D0;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4314-00004;89410114160701042558;;80-1F-02-F5-5E-12;D4590C36DFD24B9BFA82C7DBF4B1C01A;862455026414667;F4B1C01ADFD24B9BF4B1C01ADFD24B9B;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
5BD086AFC5322B6F;0000000013155;20-FE-DB-00-33-D1;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4314-00005;89410114160701043234;;80-1F-02-F5-5D-FF;D4610B19C5322B6FFA82C7DB5BD086AF;862455026420482;5BD086AFC5322B6F5BD086AFC5322B6F;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
6476ADFFA6869946;0000000013156;20-FE-DB-00-33-D2;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4414-00006;89410114160701043382;;80-1F-02-F5-5D-FE;D461181AA6869946FA82C7DB6476ADFF;862455026418981;6476ADFFA68699466476ADFFA6869946;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
028208DFA7ED0361;0000000013157;20-FE-DB-00-33-D3;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4414-00007;89410114160701043150;;80-1F-02-F5-67-92;D4611219A7ED0361FA82C7DB028208DF;862455026421951;028208DFA7ED0361028208DFA7ED0361;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
8055D51BBC092490;0000000013158;20-FE-DB-00-33-D4;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4414-00008;89410114160701043192;;80-1F-02-F5-5E-1F;D4612003BC092490FA82C7DB8055D51B;862455026421415;8055D51BBC0924908055D51BBC092490;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
16215DF4385AF056;0000000013159;20-FE-DB-00-33-D5;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4414-00009;89410114160701043242;;80-1F-02-F5-67-71;D4611E19385AF056FA82C7DB16215DF4;862455026414022;16215DF4385AF05616215DF4385AF056;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
87E39B34F409FE6C;0000000013160;20-FE-DB-00-33-D6;SWISSCOM;swisscom;433-MA-1443-50-E7;MA-1443-03;3700585301031;7.0.1;4414-00010;89410114160701043267;;80-1F-02-F5-5E-3A;D4612B19F409FE6CFA82C7DB87E39B34;862455026412497;87E39B34F409FE6C87E39B34F409FE6C;true;0;SAX00050001;prod/armv5te;swisscom;prod;sophia1
